TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc06g060770.3.1	19046	NA	gene:Solyc06g060770.3
mRNA:Solyc06g060780.4.1	19047	NA	gene:Solyc06g060780.4
mRNA:Solyc06g060790.1.1	19048	NA	gene:Solyc06g060790.1
mRNA:Solyc06g060800.3.1	19049	NA	gene:Solyc06g060800.3
mRNA:Solyc06g060810.3.1	19050	NA	gene:Solyc06g060810.3
mRNA:Solyc06g060820.2.1	19051	NA	gene:Solyc06g060820.2
mRNA:Solyc06g060830.3.1	19052	NA	gene:Solyc06g060830.3
mRNA:Solyc06g060840.1.1	19053	NA	gene:Solyc06g060840.1
mRNA:Solyc06g060850.3.1	19054	NA	gene:Solyc06g060850.3
mRNA:Solyc06g060860.2.1	19055	NA	gene:Solyc06g060860.2
mRNA:Solyc06g060890.3.1	19056	NA	gene:Solyc06g060890.3
mRNA:Solyc06g060870.1.1	19057	NA	gene:Solyc06g060870.1
mRNA:Solyc06g060880.3.1	19058	NA	gene:Solyc06g060880.3
mRNA:Solyc06g060900.1.1	19059	NA	gene:Solyc06g060900.1
mRNA:Solyc06g060910.2.1	19060	NA	gene:Solyc06g060910.2
mRNA:Solyc06g060920.3.1	19061	NA	gene:Solyc06g060920.3
mRNA:Solyc06g060925.1.1	19062	NA	gene:Solyc06g060925.1
mRNA:Solyc06g060930.1.1	19063	NA	gene:Solyc06g060930.1
mRNA:Solyc06g060940.2.1	19064	NA	gene:Solyc06g060940.2
mRNA:Solyc06g060950.1.1	19065	NA	gene:Solyc06g060950.1
mRNA:Solyc06g060960.2.1	19066	NA	gene:Solyc06g060960.2
mRNA:Solyc06g060970.2.1	19067	NA	gene:Solyc06g060970.2
mRNA:Solyc06g060980.2.1	19068	NA	gene:Solyc06g060980.2
mRNA:Solyc06g060990.3.1	19069	NA	gene:Solyc06g060990.3
mRNA:Solyc06g061000.3.1	19070	NA	gene:Solyc06g061000.3
mRNA:Solyc06g061010.3.1	19071	NA	gene:Solyc06g061010.3
mRNA:Solyc06g061020.3.1	19072	NA	gene:Solyc06g061020.3
mRNA:Solyc06g061030.3.1	19073	NA	gene:Solyc06g061030.3
mRNA:Solyc06g061040.3.1	19074	NA	gene:Solyc06g061040.3
mRNA:Solyc06g061050.3.1	19075	NA	gene:Solyc06g061050.3
mRNA:Solyc06g061055.1.1	19076	NA	gene:Solyc06g061055.1
mRNA:Solyc06g061070.3.1	19077	NA	gene:Solyc06g061070.3
mRNA:Solyc06g061080.3.1	19078	NA	gene:Solyc06g061080.3
mRNA:Solyc06g061090.3.1	19079	NA	gene:Solyc06g061090.3
mRNA:Solyc06g061100.3.1	19080	NA	gene:Solyc06g061100.3
mRNA:Solyc06g061110.2.1	19081	NA	gene:Solyc06g061110.2
mRNA:Solyc06g061120.3.1	19082	NA	gene:Solyc06g061120.3
mRNA:Solyc06g061130.3.1	19083	NA	gene:Solyc06g061130.3
mRNA:Solyc06g061140.3.1	19084	NA	gene:Solyc06g061140.3
mRNA:Solyc06g061150.3.1	19085	NA	gene:Solyc06g061150.3
mRNA:Solyc06g061160.1.1	19086	NA	gene:Solyc06g061160.1
mRNA:Solyc06g061170.3.1	19087	NA	gene:Solyc06g061170.3
mRNA:Solyc06g061180.1.1	19088	NA	gene:Solyc06g061180.1
mRNA:Solyc06g061190.1.1	19089	NA	gene:Solyc06g061190.1
mRNA:Solyc06g061200.1.1	19090	NA	gene:Solyc06g061200.1
mRNA:Solyc06g061210.3.1	19091	NA	gene:Solyc06g061210.3
mRNA:Solyc06g061215.1.1	19092	NA	gene:Solyc06g061215.1
mRNA:Solyc06g061220.2.1	19093	NA	gene:Solyc06g061220.2
mRNA:Solyc06g061230.3.1	19094	NA	gene:Solyc06g061230.3
mRNA:Solyc06g061250.2.1	19095	NA	gene:Solyc06g061250.2
mRNA:Solyc06g061240.3.1	19096	NA	gene:Solyc06g061240.3
mRNA:Solyc06g061260.1.1	19097	NA	gene:Solyc06g061260.1
mRNA:Solyc06g061270.2.1	19098	NA	gene:Solyc06g061270.2
mRNA:Solyc06g061280.3.1	19099	NA	gene:Solyc06g061280.3
mRNA:Solyc06g062280.3.1	19100	NA	gene:Solyc06g062280.3
mRNA:Solyc06g062290.1.1	19101	NA	gene:Solyc06g062290.1
mRNA:Solyc06g062300.2.1	19102	NA	gene:Solyc06g062300.2
mRNA:Solyc06g062305.1.1	19103	NA	gene:Solyc06g062305.1
mRNA:Solyc06g062310.3.1	19104	NA	gene:Solyc06g062310.3
mRNA:Solyc06g062320.2.1	19105	NA	gene:Solyc06g062320.2
mRNA:Solyc06g062330.2.1	19106	NA	gene:Solyc06g062330.2
mRNA:Solyc06g062340.3.1	19107	NA	gene:Solyc06g062340.3
mRNA:Solyc06g062350.3.1	19108	NA	gene:Solyc06g062350.3
mRNA:Solyc06g062360.3.1	19109	NA	gene:Solyc06g062360.3
mRNA:Solyc06g062370.3.1	19110	NA	gene:Solyc06g062370.3
mRNA:Solyc06g062375.1.1	19111	NA	gene:Solyc06g062375.1
mRNA:Solyc06g062380.3.1	19112	NA	gene:Solyc06g062380.3
mRNA:Solyc06g062390.3.1	19113	NA	gene:Solyc06g062390.3
mRNA:Solyc06g062400.2.1	19114	NA	gene:Solyc06g062400.2
mRNA:Solyc06g062420.3.1	19115	NA	gene:Solyc06g062420.3
mRNA:Solyc06g062430.3.1	19116	NA	gene:Solyc06g062430.3
mRNA:Solyc06g062440.3.1	19117	NA	gene:Solyc06g062440.3
mRNA:Solyc06g062450.3.1	19118	NA	gene:Solyc06g062450.3
mRNA:Solyc06g062460.3.1	19119	NA	gene:Solyc06g062460.3
mRNA:Solyc06g062480.3.1	19120	NA	gene:Solyc06g062480.3
mRNA:Solyc06g062490.3.1	19121	NA	gene:Solyc06g062490.3
mRNA:Solyc06g062500.3.1	19122	NA	gene:Solyc06g062500.3
mRNA:Solyc06g062510.3.1	19123	NA	gene:Solyc06g062510.3
mRNA:Solyc06g062520.1.1	19124	NA	gene:Solyc06g062520.1
mRNA:Solyc06g062530.3.1	19125	NA	gene:Solyc06g062530.3
mRNA:Solyc06g062540.3.1	19126	NA	gene:Solyc06g062540.3
mRNA:Solyc06g062550.4.1	19127	NA	gene:Solyc06g062550.4
mRNA:Solyc06g062560.2.1	19128	NA	gene:Solyc06g062560.2
mRNA:Solyc06g062570.1.1	19129	NA	gene:Solyc06g062570.1
mRNA:Solyc06g062580.3.1	19130	NA	gene:Solyc06g062580.3
mRNA:Solyc06g062590.3.1	19131	NA	gene:Solyc06g062590.3
mRNA:Solyc06g062600.3.1	19132	NA	gene:Solyc06g062600.3
mRNA:Solyc06g062610.2.1	19133	NA	gene:Solyc06g062610.2
mRNA:Solyc06g062620.2.1	19134	NA	gene:Solyc06g062620.2
mRNA:Solyc06g062623.1.1	19135	NA	gene:Solyc06g062623.1
mRNA:Solyc06g062630.2.1	19136	NA	gene:Solyc06g062630.2
mRNA:Solyc06g062627.1.1	19137	NA	gene:Solyc06g062627.1
mRNA:Solyc06g062650.1.1	19138	NA	gene:Solyc06g062650.1
mRNA:Solyc06g062660.3.1	19139	NA	gene:Solyc06g062660.3
mRNA:Solyc06g062670.3.1	19140	NA	gene:Solyc06g062670.3
mRNA:Solyc06g062680.2.1	19141	NA	gene:Solyc06g062680.2
mRNA:Solyc06g062690.3.1	19142	NA	gene:Solyc06g062690.3
mRNA:Solyc06g062700.3.1	19143	NA	gene:Solyc06g062700.3
mRNA:Solyc06g062710.1.1	19144	NA	gene:Solyc06g062710.1
mRNA:Solyc06g062720.2.1	19145	NA	gene:Solyc06g062720.2
mRNA:Solyc06g062730.2.1	19146	NA	gene:Solyc06g062730.2
mRNA:Solyc06g062740.2.1	19147	NA	gene:Solyc06g062740.2
mRNA:Solyc06g062750.3.1	19148	NA	gene:Solyc06g062750.3
mRNA:Solyc06g062760.3.1	19149	NA	gene:Solyc06g062760.3
mRNA:Solyc06g062770.3.1	19150	NA	gene:Solyc06g062770.3
mRNA:Solyc06g062780.3.1	19151	NA	gene:Solyc06g062780.3
mRNA:Solyc06g062790.3.1	19152	NA	gene:Solyc06g062790.3
mRNA:Solyc06g062795.1.1	19153	NA	gene:Solyc06g062795.1
mRNA:Solyc06g062800.3.1	19154	NA	gene:Solyc06g062800.3
mRNA:Solyc06g062805.1.1	19155	NA	gene:Solyc06g062805.1
mRNA:Solyc06g062810.1.1	19156	NA	gene:Solyc06g062810.1
mRNA:Solyc06g062820.3.1	19157	NA	gene:Solyc06g062820.3
mRNA:Solyc06g062830.3.1	19158	NA	gene:Solyc06g062830.3
mRNA:Solyc06g062840.3.1	19159	NA	gene:Solyc06g062840.3
mRNA:Solyc06g062845.1.1	19160	NA	gene:Solyc06g062845.1
mRNA:Solyc06g062850.3.1	19161	NA	gene:Solyc06g062850.3
mRNA:Solyc06g062860.3.1	19162	NA	gene:Solyc06g062860.3
mRNA:Solyc06g062870.3.1	19163	NA	gene:Solyc06g062870.3
