TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc00g005000.3.1	1	NA	gene:Solyc00g005000.3
mRNA:Solyc00g005040.3.1	2	NA	gene:Solyc00g005040.3
mRNA:Solyc00g005050.3.1	3	NA	gene:Solyc00g005050.3
mRNA:Solyc00g005060.1.1	4	NA	gene:Solyc00g005060.1
mRNA:Solyc00g005080.2.1	5	NA	gene:Solyc00g005080.2
mRNA:Solyc00g005084.1.1	6	NA	gene:Solyc00g005084.1
mRNA:Solyc00g005090.1.1	7	NA	gene:Solyc00g005090.1
mRNA:Solyc00g005092.1.1	8	NA	gene:Solyc00g005092.1
mRNA:Solyc00g005094.1.1	9	NA	gene:Solyc00g005094.1
mRNA:Solyc00g005096.1.1	10	NA	gene:Solyc00g005096.1
mRNA:Solyc00g005280.1.1	11	NA	gene:Solyc00g005280.1
mRNA:Solyc00g005283.1.1	12	NA	gene:Solyc00g005283.1
mRNA:Solyc00g005285.1.1	13	NA	gene:Solyc00g005285.1
mRNA:Solyc00g005287.1.1	14	NA	gene:Solyc00g005287.1
mRNA:Solyc00g005430.1.1	15	NA	gene:Solyc00g005430.1
mRNA:Solyc00g005440.2.1	16	NA	gene:Solyc00g005440.2
mRNA:Solyc00g005445.1.1	17	NA	gene:Solyc00g005445.1
mRNA:Solyc00g005450.1.1	18	NA	gene:Solyc00g005450.1
mRNA:Solyc00g005460.2.1	19	NA	gene:Solyc00g005460.2
mRNA:Solyc00g005470.2.1	20	NA	gene:Solyc00g005470.2
mRNA:Solyc00g005480.1.1	21	NA	gene:Solyc00g005480.1
mRNA:Solyc00g005840.3.1	22	NA	gene:Solyc00g005840.3
mRNA:Solyc00g005850.2.1	23	NA	gene:Solyc00g005850.2
mRNA:Solyc00g005890.3.1	24	NA	gene:Solyc00g005890.3
mRNA:Solyc00g005900.2.1	25	NA	gene:Solyc00g005900.2
mRNA:Solyc00g006020.1.1	26	NA	gene:Solyc00g006020.1
mRNA:Solyc00g006090.1.1	27	NA	gene:Solyc00g006090.1
mRNA:Solyc00g006170.1.1	28	NA	gene:Solyc00g006170.1
mRNA:Solyc00g005903.1.1	29	NA	gene:Solyc00g005903.1
mRNA:Solyc00g005907.1.1	30	NA	gene:Solyc00g005907.1
mRNA:Solyc00g006480.1.1	31	NA	gene:Solyc00g006480.1
mRNA:Solyc00g006483.1.1	32	NA	gene:Solyc00g006483.1
mRNA:Solyc00g006487.1.1	33	NA	gene:Solyc00g006487.1
mRNA:Solyc00g006490.3.1	34	NA	gene:Solyc00g006490.3
mRNA:Solyc00g006500.1.1	35	NA	gene:Solyc00g006500.1
mRNA:Solyc00g006510.1.1	36	NA	gene:Solyc00g006510.1
mRNA:Solyc00g006520.1.1	37	NA	gene:Solyc00g006520.1
mRNA:Solyc00g006530.1.1	38	NA	gene:Solyc00g006530.1
mRNA:Solyc00g006540.1.1	39	NA	gene:Solyc00g006540.1
mRNA:Solyc00g006550.1.1	40	NA	gene:Solyc00g006550.1
mRNA:Solyc00g006560.1.1	41	NA	gene:Solyc00g006560.1
mRNA:Solyc00g006590.2.1	42	NA	gene:Solyc00g006590.2
mRNA:Solyc00g006650.1.1	43	NA	gene:Solyc00g006650.1
mRNA:Solyc00g006655.1.1	44	NA	gene:Solyc00g006655.1
mRNA:Solyc00g006660.1.1	45	NA	gene:Solyc00g006660.1
mRNA:Solyc00g006680.2.1	46	NA	gene:Solyc00g006680.2
mRNA:Solyc00g006683.1.1	47	NA	gene:Solyc00g006683.1
mRNA:Solyc00g006800.3.1	48	NA	gene:Solyc00g006800.3
mRNA:Solyc00g006805.1.1	49	NA	gene:Solyc00g006805.1
mRNA:Solyc00g006810.3.1	50	NA	gene:Solyc00g006810.3
mRNA:Solyc00g006820.3.1	51	NA	gene:Solyc00g006820.3
mRNA:Solyc00g006830.3.1	52	NA	gene:Solyc00g006830.3
mRNA:Solyc00g006840.3.1	53	NA	gene:Solyc00g006840.3
mRNA:Solyc00g006850.2.1	54	NA	gene:Solyc00g006850.2
mRNA:Solyc00g006860.2.1	55	NA	gene:Solyc00g006860.2
mRNA:Solyc00g006867.1.1	56	NA	gene:Solyc00g006867.1
mRNA:Solyc00g006870.1.1	57	NA	gene:Solyc00g006870.1
mRNA:Solyc00g006880.1.1	58	NA	gene:Solyc00g006880.1
mRNA:Solyc00g006890.1.1	59	NA	gene:Solyc00g006890.1
mRNA:Solyc00g006900.1.1	60	NA	gene:Solyc00g006900.1
mRNA:Solyc00g006903.1.1	61	NA	gene:Solyc00g006903.1
mRNA:Solyc00g006907.1.1	62	NA	gene:Solyc00g006907.1
mRNA:Solyc00g007550.1.1	63	NA	gene:Solyc00g007550.1
mRNA:Solyc00g007560.2.1	64	NA	gene:Solyc00g007560.2
mRNA:Solyc00g007555.1.1	65	NA	gene:Solyc00g007555.1
mRNA:Solyc00g007570.2.1	66	NA	gene:Solyc00g007570.2
mRNA:Solyc00g007600.2.1	67	NA	gene:Solyc00g007600.2
mRNA:Solyc00g007910.1.1	68	NA	gene:Solyc00g007910.1
mRNA:Solyc00g007920.1.1	69	NA	gene:Solyc00g007920.1
mRNA:Solyc00g007925.1.1	70	NA	gene:Solyc00g007925.1
mRNA:Solyc00g007930.1.1	71	NA	gene:Solyc00g007930.1
mRNA:Solyc00g007950.1.1	72	NA	gene:Solyc00g007950.1
mRNA:Solyc00g007960.1.1	73	NA	gene:Solyc00g007960.1
mRNA:Solyc00g007970.1.1	74	NA	gene:Solyc00g007970.1
mRNA:Solyc00g007980.1.1	75	NA	gene:Solyc00g007980.1
mRNA:Solyc00g007990.1.1	76	NA	gene:Solyc00g007990.1
mRNA:Solyc00g008000.1.1	77	NA	gene:Solyc00g008000.1
mRNA:Solyc00g008010.1.1	78	NA	gene:Solyc00g008010.1
mRNA:Solyc00g008020.1.1	79	NA	gene:Solyc00g008020.1
mRNA:Solyc00g008030.1.1	80	NA	gene:Solyc00g008030.1
mRNA:Solyc00g008040.1.1	81	NA	gene:Solyc00g008040.1
mRNA:Solyc00g008050.1.1	82	NA	gene:Solyc00g008050.1
mRNA:Solyc00g008055.1.1	83	NA	gene:Solyc00g008055.1
mRNA:Solyc00g008060.1.1	84	NA	gene:Solyc00g008060.1
mRNA:Solyc00g008070.2.1	85	NA	gene:Solyc00g008070.2
mRNA:Solyc00g008080.1.1	86	NA	gene:Solyc00g008080.1
mRNA:Solyc00g008090.2.1	87	NA	gene:Solyc00g008090.2
mRNA:Solyc00g008100.1.1	88	NA	gene:Solyc00g008100.1
mRNA:Solyc00g008110.1.1	89	NA	gene:Solyc00g008110.1
mRNA:Solyc00g008120.1.1	90	NA	gene:Solyc00g008120.1
mRNA:Solyc00g008130.1.1	91	NA	gene:Solyc00g008130.1
mRNA:Solyc00g008140.1.1	92	NA	gene:Solyc00g008140.1
mRNA:Solyc00g008150.1.1	93	NA	gene:Solyc00g008150.1
mRNA:Solyc00g008160.1.1	94	NA	gene:Solyc00g008160.1
mRNA:Solyc00g008165.1.1	95	NA	gene:Solyc00g008165.1
mRNA:Solyc00g008260.2.1	96	NA	gene:Solyc00g008260.2
mRNA:Solyc00g008265.1.1	97	NA	gene:Solyc00g008265.1
mRNA:Solyc00g008270.1.1	98	NA	gene:Solyc00g008270.1
mRNA:Solyc00g008570.2.1	99	NA	gene:Solyc00g008570.2
mRNA:Solyc00g008580.1.1	100	NA	gene:Solyc00g008580.1
mRNA:Solyc00g008800.2.1	101	NA	gene:Solyc00g008800.2
mRNA:Solyc00g008910.1.1	102	NA	gene:Solyc00g008910.1
mRNA:Solyc00g008915.1.1	103	NA	gene:Solyc00g008915.1
mRNA:Solyc00g009020.3.1	104	NA	gene:Solyc00g009020.3
mRNA:Solyc00g009030.2.1	105	NA	gene:Solyc00g009030.2
mRNA:Solyc00g009040.3.1	106	NA	gene:Solyc00g009040.3
mRNA:Solyc00g009050.2.1	107	NA	gene:Solyc00g009050.2
mRNA:Solyc00g009060.3.1	108	NA	gene:Solyc00g009060.3
mRNA:Solyc00g009070.1.1	109	NA	gene:Solyc00g009070.1
mRNA:Solyc00g009080.3.1	110	NA	gene:Solyc00g009080.3
mRNA:Solyc00g009090.3.1	111	NA	gene:Solyc00g009090.3
mRNA:Solyc00g009100.3.1	112	NA	gene:Solyc00g009100.3
mRNA:Solyc00g009110.3.1	113	NA	gene:Solyc00g009110.3
mRNA:Solyc00g009120.3.1	114	NA	gene:Solyc00g009120.3
mRNA:Solyc00g009140.3.1	115	NA	gene:Solyc00g009140.3
mRNA:Solyc00g009141.1.1	116	NA	gene:Solyc00g009141.1
mRNA:Solyc00g009142.1.1	117	NA	gene:Solyc00g009142.1
mRNA:Solyc00g009143.1.1	118	NA	gene:Solyc00g009143.1
mRNA:Solyc00g009144.1.1	119	NA	gene:Solyc00g009144.1
mRNA:Solyc00g009145.1.1	120	NA	gene:Solyc00g009145.1
mRNA:Solyc00g009146.1.1	121	NA	gene:Solyc00g009146.1
mRNA:Solyc00g009540.1.1	122	NA	gene:Solyc00g009540.1
mRNA:Solyc00g009148.1.1	123	NA	gene:Solyc00g009148.1
mRNA:Solyc00g009650.1.1	124	NA	gene:Solyc00g009650.1
mRNA:Solyc00g009760.2.1	125	NA	gene:Solyc00g009760.2
mRNA:Solyc00g009765.1.1	126	NA	gene:Solyc00g009765.1
mRNA:Solyc00g010410.1.1	127	NA	gene:Solyc00g010410.1
mRNA:Solyc00g010420.1.1	128	NA	gene:Solyc00g010420.1
mRNA:Solyc06g024330.2.1	129	NA	gene:Solyc06g024330.2
mRNA:Solyc00g010520.1.1	130	NA	gene:Solyc00g010520.1
mRNA:Solyc00g010525.1.1	131	NA	gene:Solyc00g010525.1
mRNA:Solyc00g010530.1.1	132	NA	gene:Solyc00g010530.1
mRNA:Solyc00g010750.2.1	133	NA	gene:Solyc00g010750.2
mRNA:Solyc00g010760.1.1	134	NA	gene:Solyc00g010760.1
mRNA:Solyc00g010755.1.1	135	NA	gene:Solyc00g010755.1
mRNA:Solyc00g010780.1.1	136	NA	gene:Solyc00g010780.1
mRNA:Solyc00g010930.1.1	137	NA	gene:Solyc00g010930.1
mRNA:Solyc00g011150.1.1	138	NA	gene:Solyc00g011150.1
mRNA:Solyc00g011160.2.1	139	NA	gene:Solyc00g011160.2
mRNA:Solyc00g011170.1.1	140	NA	gene:Solyc00g011170.1
mRNA:Solyc00g011175.1.1	141	NA	gene:Solyc00g011175.1
mRNA:Solyc03g043580.2.1	142	NA	gene:Solyc03g043580.2
mRNA:Solyc00g011670.1.1	143	NA	gene:Solyc00g011670.1
mRNA:Solyc00g011673.1.1	144	NA	gene:Solyc00g011673.1
mRNA:Solyc00g011677.1.1	145	NA	gene:Solyc00g011677.1
mRNA:Solyc00g011870.1.1	146	NA	gene:Solyc00g011870.1
mRNA:Solyc00g011880.3.1	147	NA	gene:Solyc00g011880.3
mRNA:Solyc00g011890.3.1	148	NA	gene:Solyc00g011890.3
mRNA:Solyc00g011895.1.1	149	NA	gene:Solyc00g011895.1
mRNA:Solyc00g012430.1.1	150	NA	gene:Solyc00g012430.1
mRNA:Solyc00g012435.1.1	151	NA	gene:Solyc00g012435.1
mRNA:Solyc00g012440.1.1	152	NA	gene:Solyc00g012440.1
mRNA:Solyc00g012540.1.1	153	NA	gene:Solyc00g012540.1
mRNA:Solyc00g012640.1.1	154	NA	gene:Solyc00g012640.1
mRNA:Solyc00g012650.1.1	155	NA	gene:Solyc00g012650.1
mRNA:Solyc00g012660.1.1	156	NA	gene:Solyc00g012660.1
mRNA:Solyc00g012670.2.1	157	NA	gene:Solyc00g012670.2
mRNA:Solyc00g012680.1.1	158	NA	gene:Solyc00g012680.1
mRNA:Solyc00g012690.1.1	159	NA	gene:Solyc00g012690.1
mRNA:Solyc00g012700.2.1	160	NA	gene:Solyc00g012700.2
mRNA:Solyc00g012702.1.1	161	NA	gene:Solyc00g012702.1
mRNA:Solyc00g012704.1.1	162	NA	gene:Solyc00g012704.1
mRNA:Solyc00g012706.1.1	163	NA	gene:Solyc00g012706.1
mRNA:Solyc00g012708.1.1	164	NA	gene:Solyc00g012708.1
mRNA:Solyc00g013110.1.1	165	NA	gene:Solyc00g013110.1
mRNA:Solyc00g013120.3.1	166	NA	gene:Solyc00g013120.3
mRNA:Solyc00g013130.3.1	167	NA	gene:Solyc00g013130.3
mRNA:Solyc00g013133.1.1	168	NA	gene:Solyc00g013133.1
mRNA:Solyc00g013137.1.1	169	NA	gene:Solyc00g013137.1
mRNA:Solyc00g013140.2.1	170	NA	gene:Solyc00g013140.2
mRNA:Solyc00g013150.1.1	171	NA	gene:Solyc00g013150.1
mRNA:Solyc00g013155.1.1	172	NA	gene:Solyc00g013155.1
mRNA:Solyc00g013160.2.1	173	NA	gene:Solyc00g013160.2
mRNA:Solyc00g013170.1.1	174	NA	gene:Solyc00g013170.1
mRNA:Solyc00g013180.1.1	175	NA	gene:Solyc00g013180.1
mRNA:Solyc00g013181.1.1	176	NA	gene:Solyc00g013181.1
mRNA:Solyc00g013183.1.1	177	NA	gene:Solyc00g013183.1
mRNA:Solyc00g013184.1.1	178	NA	gene:Solyc00g013184.1
mRNA:Solyc00g013185.1.1	179	NA	gene:Solyc00g013185.1
mRNA:Solyc00g013186.1.1	180	NA	gene:Solyc00g013186.1
mRNA:Solyc00g013188.1.1	181	NA	gene:Solyc00g013188.1
mRNA:Solyc00g014170.1.1	182	NA	gene:Solyc00g014170.1
mRNA:Solyc00g014180.1.1	183	NA	gene:Solyc00g014180.1
mRNA:Solyc00g014190.1.1	184	NA	gene:Solyc00g014190.1
mRNA:Solyc00g014290.1.1	185	NA	gene:Solyc00g014290.1
mRNA:Solyc00g014390.1.1	186	NA	gene:Solyc00g014390.1
mRNA:Solyc00g014395.1.1	187	NA	gene:Solyc00g014395.1
mRNA:Solyc00g014790.2.1	188	NA	gene:Solyc00g014790.2
mRNA:Solyc00g014800.1.1	189	NA	gene:Solyc00g014800.1
mRNA:Solyc00g014810.1.1	190	NA	gene:Solyc00g014810.1
mRNA:Solyc00g014820.2.1	191	NA	gene:Solyc00g014820.2
mRNA:Solyc00g014830.3.1	192	NA	gene:Solyc00g014830.3
mRNA:Solyc00g014840.1.1	193	NA	gene:Solyc00g014840.1
mRNA:Solyc00g014850.1.1	194	NA	gene:Solyc00g014850.1
mRNA:Solyc00g014860.1.1	195	NA	gene:Solyc00g014860.1
mRNA:Solyc00g014960.1.1	196	NA	gene:Solyc00g014960.1
mRNA:Solyc00g014970.1.1	197	NA	gene:Solyc00g014970.1
mRNA:Solyc00g014980.1.1	198	NA	gene:Solyc00g014980.1
mRNA:Solyc00g014990.2.1	199	NA	gene:Solyc00g014990.2
mRNA:Solyc00g014995.1.1	200	NA	gene:Solyc00g014995.1
mRNA:Solyc00g015000.1.1	201	NA	gene:Solyc00g015000.1
mRNA:Solyc00g015600.1.1	202	NA	gene:Solyc00g015600.1
mRNA:Solyc00g015720.1.1	203	NA	gene:Solyc00g015720.1
mRNA:Solyc00g015730.2.1	204	NA	gene:Solyc00g015730.2
mRNA:Solyc00g015733.1.1	205	NA	gene:Solyc00g015733.1
mRNA:Solyc00g015735.1.1	206	NA	gene:Solyc00g015735.1
mRNA:Solyc00g015737.1.1	207	NA	gene:Solyc00g015737.1
mRNA:Solyc00g016470.1.1	208	NA	gene:Solyc00g016470.1
mRNA:Solyc00g016480.1.1	209	NA	gene:Solyc00g016480.1
mRNA:Solyc00g016490.1.1	210	NA	gene:Solyc00g016490.1
mRNA:Solyc00g016590.2.1	211	NA	gene:Solyc00g016590.2
mRNA:Solyc00g016790.1.1	212	NA	gene:Solyc00g016790.1
mRNA:Solyc00g016900.1.1	213	NA	gene:Solyc00g016900.1
mRNA:Solyc00g016910.1.1	214	NA	gene:Solyc00g016910.1
mRNA:Solyc00g016915.1.1	215	NA	gene:Solyc00g016915.1
mRNA:Solyc00g017210.2.1	216	NA	gene:Solyc00g017210.2
mRNA:Solyc00g017220.2.1	217	NA	gene:Solyc00g017220.2
mRNA:Solyc00g017230.1.1	218	NA	gene:Solyc00g017230.1
mRNA:Solyc00g017235.1.1	219	NA	gene:Solyc00g017235.1
mRNA:Solyc00g017540.2.1	220	NA	gene:Solyc00g017540.2
mRNA:Solyc00g017550.2.1	221	NA	gene:Solyc00g017550.2
mRNA:Solyc00g017760.1.1	222	NA	gene:Solyc00g017760.1
mRNA:Solyc00g017860.1.1	223	NA	gene:Solyc00g017860.1
mRNA:Solyc00g017870.1.1	224	NA	gene:Solyc00g017870.1
mRNA:Solyc00g017880.1.1	225	NA	gene:Solyc00g017880.1
mRNA:Solyc00g017890.1.1	226	NA	gene:Solyc00g017890.1
mRNA:Solyc00g017900.1.1	227	NA	gene:Solyc00g017900.1
mRNA:Solyc00g017910.1.1	228	NA	gene:Solyc00g017910.1
mRNA:Solyc00g017920.1.1	229	NA	gene:Solyc00g017920.1
mRNA:Solyc00g017930.1.1	230	NA	gene:Solyc00g017930.1
mRNA:Solyc00g017933.1.1	231	NA	gene:Solyc00g017933.1
mRNA:Solyc00g017937.1.1	232	NA	gene:Solyc00g017937.1
mRNA:Solyc00g018760.1.1	233	NA	gene:Solyc00g018760.1
mRNA:Solyc00g018770.1.1	234	NA	gene:Solyc00g018770.1
mRNA:Solyc00g018970.1.1	235	NA	gene:Solyc00g018970.1
mRNA:Solyc00g019610.1.1	236	NA	gene:Solyc00g019610.1
mRNA:Solyc00g019620.2.1	237	NA	gene:Solyc00g019620.2
mRNA:Solyc00g019630.2.1	238	NA	gene:Solyc00g019630.2
mRNA:Solyc00g019730.2.1	239	NA	gene:Solyc00g019730.2
mRNA:Solyc00g019740.1.1	240	NA	gene:Solyc00g019740.1
mRNA:Solyc00g019750.1.1	241	NA	gene:Solyc00g019750.1
mRNA:Solyc00g019950.1.1	242	NA	gene:Solyc00g019950.1
mRNA:Solyc00g019970.2.1	243	NA	gene:Solyc00g019970.2
mRNA:Solyc00g019980.2.1	244	NA	gene:Solyc00g019980.2
mRNA:Solyc00g019990.1.1	245	NA	gene:Solyc00g019990.1
mRNA:Solyc00g020000.1.1	246	NA	gene:Solyc00g020000.1
mRNA:Solyc00g020010.1.1	247	NA	gene:Solyc00g020010.1
mRNA:Solyc00g020020.2.1	248	NA	gene:Solyc00g020020.2
mRNA:Solyc00g020030.1.1	249	NA	gene:Solyc00g020030.1
mRNA:Solyc00g020040.1.1	250	NA	gene:Solyc00g020040.1
mRNA:Solyc00g020440.1.1	251	NA	gene:Solyc00g020440.1
mRNA:Solyc00g020540.2.1	252	NA	gene:Solyc00g020540.2
mRNA:Solyc00g020545.1.1	253	NA	gene:Solyc00g020545.1
mRNA:Solyc00g020940.1.1	254	NA	gene:Solyc00g020940.1
mRNA:Solyc00g020960.1.1	255	NA	gene:Solyc00g020960.1
mRNA:Solyc00g020970.1.1	256	NA	gene:Solyc00g020970.1
mRNA:Solyc00g020980.1.1	257	NA	gene:Solyc00g020980.1
mRNA:Solyc00g020990.2.1	258	NA	gene:Solyc00g020990.2
mRNA:Solyc00g021490.2.1	259	NA	gene:Solyc00g021490.2
mRNA:Solyc00g021500.2.1	260	NA	gene:Solyc00g021500.2
mRNA:Solyc00g021510.2.1	261	NA	gene:Solyc00g021510.2
mRNA:Solyc00g021520.1.1	262	NA	gene:Solyc00g021520.1
mRNA:Solyc00g021530.2.1	263	NA	gene:Solyc00g021530.2
mRNA:Solyc00g021630.1.1	264	NA	gene:Solyc00g021630.1
mRNA:Solyc00g021640.3.1	265	NA	gene:Solyc00g021640.3
mRNA:Solyc00g021650.1.1	266	NA	gene:Solyc00g021650.1
mRNA:Solyc00g021655.1.1	267	NA	gene:Solyc00g021655.1
mRNA:Solyc00g022070.1.1	268	NA	gene:Solyc00g022070.1
mRNA:Solyc00g022080.1.1	269	NA	gene:Solyc00g022080.1
mRNA:Solyc00g022090.2.1	270	NA	gene:Solyc00g022090.2
mRNA:Solyc00g022100.1.1	271	NA	gene:Solyc00g022100.1
mRNA:Solyc00g022103.1.1	272	NA	gene:Solyc00g022103.1
mRNA:Solyc00g022107.1.1	273	NA	gene:Solyc00g022107.1
mRNA:Solyc00g022920.2.1	274	NA	gene:Solyc00g022920.2
mRNA:Solyc00g023020.2.1	275	NA	gene:Solyc00g023020.2
mRNA:Solyc00g023030.1.1	276	NA	gene:Solyc00g023030.1
mRNA:Solyc00g023040.1.1	277	NA	gene:Solyc00g023040.1
mRNA:Solyc00g023050.2.1	278	NA	gene:Solyc00g023050.2
mRNA:Solyc00g023250.2.1	279	NA	gene:Solyc00g023250.2
mRNA:Solyc00g023260.1.1	280	NA	gene:Solyc00g023260.1
mRNA:Solyc00g023270.2.1	281	NA	gene:Solyc00g023270.2
mRNA:Solyc00g023470.1.1	282	NA	gene:Solyc00g023470.1
mRNA:Solyc00g023570.1.1	283	NA	gene:Solyc00g023570.1
mRNA:Solyc00g023580.1.1	284	NA	gene:Solyc00g023580.1
mRNA:Solyc00g023590.2.1	285	NA	gene:Solyc00g023590.2
mRNA:Solyc00g023600.2.1	286	NA	gene:Solyc00g023600.2
mRNA:Solyc00g023700.2.1	287	NA	gene:Solyc00g023700.2
mRNA:Solyc00g023710.1.1	288	NA	gene:Solyc00g023710.1
mRNA:Solyc00g024010.1.1	289	NA	gene:Solyc00g024010.1
mRNA:Solyc00g024020.1.1	290	NA	gene:Solyc00g024020.1
mRNA:Solyc00g024030.1.1	291	NA	gene:Solyc00g024030.1
mRNA:Solyc00g024040.1.1	292	NA	gene:Solyc00g024040.1
mRNA:Solyc00g024050.1.1	293	NA	gene:Solyc00g024050.1
mRNA:Solyc00g024150.3.1	294	NA	gene:Solyc00g024150.3
mRNA:Solyc00g024160.2.1	295	NA	gene:Solyc00g024160.2
mRNA:Solyc00g024370.1.1	296	NA	gene:Solyc00g024370.1
mRNA:Solyc00g024570.2.1	297	NA	gene:Solyc00g024570.2
mRNA:Solyc00g024670.1.1	298	NA	gene:Solyc00g024670.1
mRNA:Solyc00g024680.2.1	299	NA	gene:Solyc00g024680.2
mRNA:Solyc00g024690.1.1	300	NA	gene:Solyc00g024690.1
mRNA:Solyc00g025290.1.1	301	NA	gene:Solyc00g025290.1
mRNA:Solyc00g025300.1.1	302	NA	gene:Solyc00g025300.1
mRNA:Solyc00g025400.2.1	303	NA	gene:Solyc00g025400.2
mRNA:Solyc00g025500.2.1	304	NA	gene:Solyc00g025500.2
mRNA:Solyc00g025510.1.1	305	NA	gene:Solyc00g025510.1
mRNA:Solyc00g025520.1.1	306	NA	gene:Solyc00g025520.1
mRNA:Solyc00g025530.1.1	307	NA	gene:Solyc00g025530.1
mRNA:Solyc00g025540.2.1	308	NA	gene:Solyc00g025540.2
mRNA:Solyc00g025650.2.1	309	NA	gene:Solyc00g025650.2
mRNA:Solyc00g025660.1.1	310	NA	gene:Solyc00g025660.1
mRNA:Solyc00g026160.3.1	311	NA	gene:Solyc00g026160.3
mRNA:Solyc00g026165.1.1	312	NA	gene:Solyc00g026165.1
mRNA:Solyc00g026860.1.1	313	NA	gene:Solyc00g026860.1
mRNA:Solyc00g026870.1.1	314	NA	gene:Solyc00g026870.1
mRNA:Solyc00g026875.1.1	315	NA	gene:Solyc00g026875.1
mRNA:Solyc00g026890.1.1	316	NA	gene:Solyc00g026890.1
mRNA:Solyc00g026900.1.1	317	NA	gene:Solyc00g026900.1
mRNA:Solyc00g026903.1.1	318	NA	gene:Solyc00g026903.1
mRNA:Solyc00g026905.1.1	319	NA	gene:Solyc00g026905.1
mRNA:Solyc00g026907.1.1	320	NA	gene:Solyc00g026907.1
mRNA:Solyc00g027640.1.1	321	NA	gene:Solyc00g027640.1
mRNA:Solyc00g027650.1.1	322	NA	gene:Solyc00g027650.1
mRNA:Solyc00g027660.2.1	323	NA	gene:Solyc00g027660.2
mRNA:Solyc00g027670.2.1	324	NA	gene:Solyc00g027670.2
mRNA:Solyc00g027770.3.1	325	NA	gene:Solyc00g027770.3
mRNA:Solyc00g027970.1.1	326	NA	gene:Solyc00g027970.1
mRNA:Solyc00g027980.1.1	327	NA	gene:Solyc00g027980.1
mRNA:Solyc00g027990.1.1	328	NA	gene:Solyc00g027990.1
mRNA:Solyc00g028090.2.1	329	NA	gene:Solyc00g028090.2
mRNA:Solyc00g028100.1.1	330	NA	gene:Solyc00g028100.1
mRNA:Solyc00g028110.2.1	331	NA	gene:Solyc00g028110.2
mRNA:Solyc00g028120.1.1	332	NA	gene:Solyc00g028120.1
mRNA:Solyc00g028420.1.1	333	NA	gene:Solyc00g028420.1
mRNA:Solyc00g028520.2.1	334	NA	gene:Solyc00g028520.2
mRNA:Solyc00g028530.2.1	335	NA	gene:Solyc00g028530.2
mRNA:Solyc00g028540.2.1	336	NA	gene:Solyc00g028540.2
mRNA:Solyc00g028550.2.1	337	NA	gene:Solyc00g028550.2
mRNA:Solyc00g028560.1.1	338	NA	gene:Solyc00g028560.1
mRNA:Solyc00g028760.1.1	339	NA	gene:Solyc00g028760.1
mRNA:Solyc00g028960.1.1	340	NA	gene:Solyc00g028960.1
mRNA:Solyc00g029060.1.1	341	NA	gene:Solyc00g029060.1
mRNA:Solyc00g029070.2.1	342	NA	gene:Solyc00g029070.2
mRNA:Solyc00g029080.1.1	343	NA	gene:Solyc00g029080.1
mRNA:Solyc00g029090.1.1	344	NA	gene:Solyc00g029090.1
mRNA:Solyc00g029190.3.1	345	NA	gene:Solyc00g029190.3
mRNA:Solyc00g029290.1.1	346	NA	gene:Solyc00g029290.1
mRNA:Solyc00g029300.2.1	347	NA	gene:Solyc00g029300.2
mRNA:Solyc00g029500.1.1	348	NA	gene:Solyc00g029500.1
mRNA:Solyc00g030000.1.1	349	NA	gene:Solyc00g030000.1
mRNA:Solyc00g030100.1.1	350	NA	gene:Solyc00g030100.1
mRNA:Solyc00g030105.1.1	351	NA	gene:Solyc00g030105.1
mRNA:Solyc00g030110.2.1	352	NA	gene:Solyc00g030110.2
mRNA:Solyc00g030210.2.1	353	NA	gene:Solyc00g030210.2
mRNA:Solyc00g030215.1.1	354	NA	gene:Solyc00g030215.1
mRNA:Solyc00g030510.3.1	355	NA	gene:Solyc00g030510.3
mRNA:Solyc00g030520.3.1	356	NA	gene:Solyc00g030520.3
mRNA:Solyc00g030820.1.1	357	NA	gene:Solyc00g030820.1
mRNA:Solyc00g031020.2.1	358	NA	gene:Solyc00g031020.2
mRNA:Solyc00g031030.1.1	359	NA	gene:Solyc00g031030.1
mRNA:Solyc00g031040.1.1	360	NA	gene:Solyc00g031040.1
mRNA:Solyc00g031050.1.1	361	NA	gene:Solyc00g031050.1
mRNA:Solyc00g031060.2.1	362	NA	gene:Solyc00g031060.2
mRNA:Solyc00g031360.2.1	363	NA	gene:Solyc00g031360.2
mRNA:Solyc00g031370.2.1	364	NA	gene:Solyc00g031370.2
mRNA:Solyc00g031380.2.1	365	NA	gene:Solyc00g031380.2
mRNA:Solyc00g031383.1.1	366	NA	gene:Solyc00g031383.1
mRNA:Solyc00g031387.1.1	367	NA	gene:Solyc00g031387.1
mRNA:Solyc00g031390.1.1	368	NA	gene:Solyc00g031390.1
mRNA:Solyc00g031490.1.1	369	NA	gene:Solyc00g031490.1
mRNA:Solyc00g031500.1.1	370	NA	gene:Solyc00g031500.1
mRNA:Solyc00g031700.2.1	371	NA	gene:Solyc00g031700.2
mRNA:Solyc00g031710.2.1	372	NA	gene:Solyc00g031710.2
mRNA:Solyc00g031720.2.1	373	NA	gene:Solyc00g031720.2
mRNA:Solyc00g031730.1.1	374	NA	gene:Solyc00g031730.1
mRNA:Solyc00g032030.2.1	375	NA	gene:Solyc00g032030.2
mRNA:Solyc00g032035.1.1	376	NA	gene:Solyc00g032035.1
mRNA:Solyc00g032940.1.1	377	NA	gene:Solyc00g032940.1
